State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AR,County,Williams_flow,75,192,4,n/a,162.59440231323242,96.28677606582642,66.307626247406,8365.0,24581,174,3933011.999999784,3933011.999999784,3964625,1364.85,10000
IA,County,Williams_flow,99,222,4,n/a,748.8138637542725,153.20280194282532,595.6110618114471,15352.0,54494,74,5288752.999999982,5288752.999999981,5326512,1752.09,10000
KS,County,Williams_flow,105,263,4,n/a,650.1667194366455,118.5677444934845,531.598974943161,8849.0,34095,309,4015151.0,4015151.0,4015151,5152.75,10000
ME,County,Williams_flow,16,34,2,n/a,0.2902545928955078,0.11376738548278809,0.17648720741271973,22.0,479,1,1200838.0,1200838.0,1200838,139.16,10000
MS,County,Williams_flow,82,202,4,n/a,848.7969398498535,207.08133006095886,641.7156097888947,23397.0,68740,186,4723141.98739998,4723141.98739998,4487744,1536.79,10000
NE,County,Williams_flow,93,231,3,n/a,16.866107940673828,7.38618016242981,9.479927778244019,628.0,3068,14,2525974.0,2525974.0,2525974,2257.10,10000
NM,County,Williams_flow,33,78,3,n/a,1.1683826446533203,0.986100435256958,0.1822822093963623,180.0,862,13,1753079.0,1753079.0,1753079,462.66,10000
WV,County,Williams_flow,55,125,2,n/a,6.967992782592773,4.211838245391846,2.7561545372009277,642.0,2723,2,3900449.9999997765,3900449.999999777,3072665,799.76,10000
ID,County,Williams_flow,44,102,2,n/a,1.865884780883789,1.249070405960083,0.616814374923706,204.0,1200,1,3237073.0,3237073.0,3237073,1309.91,10000
AL,County,Williams_flow,67,171,7,n/a,1364.1797733306885,217.13639974594116,1147.0433735847473,18768.0,58855,620,4844288.999999961,4844288.999999961,n/a,n/a,n/a
AR,County,Williams_flow,75,192,4,n/a,166.52557373046875,58.82146859169006,107.70410513877869,5210.0,17686,157,3933011.9999999646,3933011.9999999646,n/a,n/a,n/a
IA,County,Williams_flow,99,222,4,n/a,1088.703260421753,174.30198574066162,914.4012746810913,16328.0,62407,304,5288752.999999993,5288752.999999991,n/a,n/a,n/a
KS,County,Williams_flow,105,263,4,n/a,1344.803430557251,100.76978826522827,1244.0336422920227,7596.0,37029,297,4015150.956705882,4015150.956705882,n/a,n/a,n/a
ME,County,Williams_flow,16,34,2,n/a,0.34546661376953125,0.21204900741577148,0.13341760635375977,40.0,523,1,1200838.0,1200838.0,n/a,n/a,n/a
MS,County,Williams_flow,82,202,4,n/a,1563.2309017181396,199.70461225509644,1363.5262894630432,22132.0,71148,317,4723142.0,4723142.0,n/a,n/a,n/a
NE,County,Williams_flow,93,231,3,n/a,27.165069580078125,14.485498666763306,12.67957091331482,1158.0,4470,35,2525973.9999997676,2525973.9999997676,n/a,n/a,n/a
NM,County,Williams_flow,33,78,3,n/a,4.884336471557617,4.350522041320801,0.5338144302368164,801.0,2309,106,1753079.0,1753079.0,n/a,n/a,n/a
WV,County,Williams_flow,55,125,2,n/a,10.768669128417969,7.787483215332031,2.9811859130859375,1197.0,3917,11,3900449.999999939,3900449.9999999385,n/a,n/a,n/a
ID,County,Williams_flow,44,102,2,n/a,4.614496231079102,3.5819997787475586,1.032496452331543,567.0,2045,37,3237072.999999996,3237072.999999996,n/a,n/a,n/a
ME,Tract,Williams_flow,407,1139,2,n/a,3600.0344619750977,127.43688035011292,3472.5975816249847,2409.0,35261,12,5556859.9999976065,1945017.3176032112,196104,24261.33,10000
ID,Tract,Williams_flow,456,1196,2,n/a,3600.0119647979736,151.65433263778687,3448.3576321601868,2580.0,32416,60,8027579.999998957,2765181.0020140754,319644,38020.21,10000
NH,Tract,Williams_flow,350,939,2,n/a,3600.0131664276123,105.40014696121216,3494.6130194664,2488.0,38833,6,5858807.999999728,2083371.970519563,242121,16638.36,10000
ME,Tract,Williams_flow,407,1139,2,n/a,3600.0137901306152,125.22816705703735,3474.785623073578,2205.0,34192,45,5971279.999998993,1931033.6595833339,n/a,n/a,n/a
ID,Tract,Williams_flow,456,1196,2,n/a,3600.019111633301,206.79444360733032,3393.2246680259705,3542.0,36682,57,8937676.999994073,2731715.5173739004,n/a,n/a,n/a
NH,Tract,Williams_flow,350,939,2,n/a,3600.0139923095703,85.58954644203186,3514.4244458675385,1422.0,32729,36,6051564.999999046,2090924.0236747654,n/a,n/a,n/a
