State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AL,county,Williams_flow,67,171,7,n/a,2419.7340602874756,479.525249004364,1940.2088112831116,40791.0,116891,1902,4844288.999999981,4844288.999999981,n/a,n/a,n/a
AR,county,Williams_flow,75,192,4,n/a,234.7488307952881,69.99896359443665,164.74986720085144,6022.0,20520,179,3933011.9999998976,3933011.999999898,n/a,n/a,n/a
IA,county,Williams_flow,99,222,4,n/a,1209.7416133880615,131.44108200073242,1078.300531387329,12956.0,52795,219,5288752.994916883,5288752.994916882,n/a,n/a,n/a
KS,county,Williams_flow,105,263,4,n/a,1321.3381824493408,99.88179659843445,1221.4563858509064,7997.0,40462,293,4015150.997328012,4015150.997328012,n/a,n/a,n/a
ME,county,Williams_flow,16,34,2,n/a,0.29913902282714844,0.18253111839294434,0.1166079044342041,34.0,451,3,1200837.9999999972,1200837.9999999972,n/a,n/a,n/a
MS,county,Williams_flow,82,202,4,n/a,264.0656051635742,56.36726760864258,207.69833755493164,4445.0,17619,206,4723141.999999996,4723141.999999996,n/a,n/a,n/a
NE,county,Williams_flow,93,231,3,n/a,32.96815299987793,17.77399206161499,15.19416093826294,1578.0,5844,42,2525973.999999981,2525973.999999981,n/a,n/a,n/a
NM,county,Williams_flow,33,78,3,n/a,4.359645843505859,3.4795124530792236,0.8801333904266357,571.0,2067,38,1753078.9999999872,1753078.9999999872,n/a,n/a,n/a
WV,county,Williams_flow,55,125,2,n/a,10.722993850708008,7.330059289932251,3.392934560775757,1125.0,3885,12,3900449.999999948,3900449.999999949,n/a,n/a,n/a
ID,county,Williams_flow,44,102,2,n/a,3.2375545501708984,2.1902196407318115,1.047334909439087,423.0,1794,10,3237072.999999814,3237072.999999814,n/a,n/a,n/a
ME,tract,Williams_flow,407,1139,2,n/a,3600.02091217041,125.59685206413269,3474.4240601062775,2484.0,36522,26,5576314.999998256,1938318.157441247,n/a,n/a,n/a
ID,tract,Williams_flow,456,1196,2,n/a,3600.003671646118,189.77560758590698,3410.228064060211,2722.0,30220,143,8013175.999996642,2696915.6900512157,n/a,n/a,n/a
NH,tract,Williams_flow,350,939,2,n/a,3600.0103130340576,71.51570916175842,3528.494603872299,1481.0,34910,21,5950383.9999988815,2097945.600537761,n/a,n/a,n/a
