State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AR,county,Williams_flow,75,192,4,n/a,150.35081100463867,74.24563336372375,76.10517764091492,6458.0,20907,105,3933011.9999999627,3933011.999999963,4093874,8.81,100
IA,county,Williams_flow,99,222,4,n/a,873.7424201965332,161.00789713859558,712.7345230579376,14020.0,50577,89,5288752.992562429,5288752.992562429,5425802,10.87,100
KS,county,Williams_flow,105,263,4,n/a,737.1198883056641,137.41095232963562,599.7089359760284,9242.0,35992,307,4015150.9999994296,4015150.99999943,4048421,27.03,100
ME,county,Williams_flow,16,34,2,n/a,0.29775428771972656,0.17186927795410156,0.125885009765625,23.0,464,3,1200838.0,1200838.0,1200838,0.89,100
MS,county,Williams_flow,82,202,4,n/a,529.845609664917,147.23404502868652,382.61156463623047,12870.0,39621,239,4723141.999999825,4723141.999999825,4777737,11.61,100
NE,county,Williams_flow,93,231,3,n/a,28.297119140625,18.750732898712158,9.546386241912842,1612.0,5092,41,2525974.0,2525974.0,2525974,15.26,100
NM,county,Williams_flow,33,78,3,n/a,9.63300895690918,8.380877494812012,1.252131462097168,1397.0,3840,25,1753078.9999999732,1753078.9999999732,1753736,5.22,100
WV,county,Williams_flow,55,125,2,n/a,9.321783065795898,6.288837432861328,3.0329456329345703,955.0,3315,3,3900450.0,3900450.0,3900450,6.71,100
ID,county,Williams_flow,44,102,2,n/a,1.9450645446777344,1.1786222457885742,0.7664422988891602,163.0,1123,1,3237073.0,3237073.0,3237073,8.27,100
ME,tract,Williams_flow,407,1139,2,n/a,3600.075735092163,98.33060264587402,3501.745132446289,1547.0,30100,12,5549492.999995554,1933486.7346556024,5566934,229.44,100
ID,tract,Williams_flow,456,1196,2,n/a,3600.0463581085205,162.56116437911987,3437.4851937294006,2491.0,30450,37,7963298.999999357,2753329.23550048,7979345,330.52,100
NH,tract,Williams_flow,350,939,2,n/a,3600.0093383789062,95.97863864898682,3504.0306997299194,1854.0,34643,5,5763435.999999443,2080850.082112004,5804375,199.85,100
