State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AL,county,Williams_flow,67,171,7,n/a,802.9219131469727,0,802.9219131469727,337341.0,0,0,4844289.0,4844289.0,n/a,n/a,n/a
AR,county,Williams_flow,75,192,4,n/a,118.43041610717773,0,118.43041610717773,10513.0,0,0,3933011.9999998347,3933011.9999998347,n/a,n/a,n/a
IA,county,Williams_flow,99,222,4,n/a,877.7901191711426,0,877.7901191711426,20700.0,0,0,5288752.999997288,5288752.999997288,n/a,n/a,n/a
KS,county,Williams_flow,105,263,4,n/a,544.6790828704834,0,544.6790828704834,11666.0,0,0,4015150.9999996545,4015150.9999996545,n/a,n/a,n/a
ME,county,Williams_flow,16,34,2,n/a,0.13511276245117188,0,0.13511276245117188,86.0,0,0,1200837.9999999995,1200837.9999999995,n/a,n/a,n/a
MS,county,Williams_flow,82,202,4,n/a,286.9972343444824,0,286.9972343444824,15327.0,0,0,4723141.999999913,4723141.999999913,n/a,n/a,n/a
NE,county,Williams_flow,93,231,3,n/a,24.975799560546875,0,24.975799560546875,3977.0,0,0,2525973.999999841,2525973.999999841,n/a,n/a,n/a
NM,county,Williams_flow,33,78,3,n/a,0.5599784851074219,0,0.5599784851074219,279.0,0,0,1753078.999999989,1753078.999999989,n/a,n/a,n/a
WV,county,Williams_flow,55,125,2,n/a,3.1061229705810547,0,3.1061229705810547,2207.0,0,0,3900449.9999999483,3900449.999999945,n/a,n/a,n/a
ID,county,Williams_flow,44,102,2,n/a,0.7455348968505859,0,0.7455348968505859,1.0,0,0,3237073.0,3237073.0,n/a,n/a,n/a
ME,tract,Williams_flow,407,1139,2,n/a,3600.1220779418945,0,3600.1220779418945,3212.0,0,0,5495204.999999247,1824183.6706679114,n/a,n/a,n/a
ID,tract,Williams_flow,456,1196,2,n/a,3600.153673171997,0,3600.153673171997,2833.0,0,0,8359563.9999941755,2606102.4407837363,n/a,n/a,n/a
NH,tract,Williams_flow,350,939,2,n/a,3600.1496620178223,0,3600.1496620178223,2263.0,0,0,5858836.9999994915,1990144.1226833952,n/a,n/a,n/a
AL,county,Hess,67,171,7,n/a,134.9882469177246,0,134.9882469177246,5409.0,0,0,4844289.0,4844289.0,n/a,n/a,n/a
AR,county,Hess,75,192,4,n/a,2.511444091796875,0,2.511444091796875,1.0,0,0,3930146.0,3930146.0,n/a,n/a,n/a
IA,county,Hess,99,222,4,n/a,8.305978775024414,0,8.305978775024414,1.0,0,0,5286772.0,5286772.0,n/a,n/a,n/a
KS,county,Hess,105,263,4,n/a,18.366230010986328,0,18.366230010986328,1.0,0,0,4007553.0,4007553.0,n/a,n/a,n/a
ME,county,Hess,16,34,2,n/a,0.03437232971191406,0,0.03437232971191406,1.0,0,0,1200838.0,1200838.0,n/a,n/a,n/a
MS,county,Hess,82,202,4,n/a,5.080394744873047,0,5.080394744873047,1.0,0,0,4721804.0,4721804.0,n/a,n/a,n/a
NE,county,Hess,93,231,3,n/a,4.079011917114258,0,4.079011917114258,1.0,0,0,2525974.0,2525974.0,n/a,n/a,n/a
NM,county,Hess,33,78,3,n/a,1.159524917602539,0,1.159524917602539,1.0,0,0,1743350.0,1743350.0,n/a,n/a,n/a
WV,county,Hess,55,125,2,n/a,0.5632610321044922,0,0.5632610321044922,1.0,0,0,3900450.0,3900450.0,n/a,n/a,n/a
ID,county,Hess,44,102,2,n/a,0.32875823974609375,0,0.32875823974609375,1.0,0,0,3237073.0,3237073.0,n/a,n/a,n/a
ME,tract,Hess,407,1139,2,n/a,223.88137245178223,0,223.88137245178223,1.0,0,0,5494965.0,5494965.0,n/a,n/a,n/a
ID,tract,Hess,456,1196,2,n/a,296.07501792907715,0,296.07501792907715,1009.0,0,0,7963043.0,7963043.0,n/a,n/a,n/a
NH,tract,Hess,350,939,2,n/a,95.48371505737305,0,95.48371505737305,1.0,0,0,5763436.0,5763436.0,n/a,n/a,n/a
