State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,70.93008995056152,14294.0,4844288.997354223,4844288.997354223
AR,Williams,75,192,4,26.732242584228516,14476.0,3933012.0,3933012.0
IA,Williams,99,222,4,229.56994819641113,25466.0,5288752.967253493,5288752.967253493
KS,Williams,105,263,4,166.45787048339844,10514.0,4015151.0,4015151.0
ME,Williams,16,34,2,0.03889274597167969,1.0,1200838.0,1200838.0
MS,Williams,82,202,4,150.17728805541992,18561.0,4723142.0,4723142.0
NE,Williams,93,231,3,7.528919219970703,1567.0,2525974.0,2525974.0
NM,Williams,33,78,3,0.16257095336914062,1.0,1753079.0,1753079.0
WV,Williams,55,125,2,0.5335807800292969,1679.0,3900450.0,3900450.0
ID,Williams,44,102,2,0.3341102600097656,1.0,3237073.0,3237073.0
MT,Williams,56,138,2,1.8191337585449219,835.0,1750471.0,1750471.0
AL,Hess,67,171,7,13.421297073364258,921.0,4844289.0,4844289.0
AR,Hess,75,192,4,1.154897689819336,1.0,3930146.0,3930146.0
IA,Hess,99,222,4,4.749509811401367,1.0,5286772.0,5286772.0
KS,Hess,105,263,4,4.534904479980469,1.0,4007553.0,4007553.0
ME,Hess,16,34,2,0.03389739990234375,1.0,1200838.0,1200838.0
MS,Hess,82,202,4,2.849416732788086,1.0,4721804.0,4721804.0
NE,Hess,93,231,3,1.6519298553466797,1.0,2525974.0,2525974.0
NM,Hess,33,78,3,0.22636985778808594,1.0,1743350.0,1743350.0
WV,Hess,55,125,2,0.3939228057861328,1.0,3900450.0,3900450.0
ID,Hess,44,102,2,0.1885051727294922,1.0,3237073.0,3237073.0
MT,Hess,56,138,2,0.20847702026367188,1.0,1750471.0,1750471.0
