State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AR,county,Williams_flow,75,192,4,n/a,125.95284271240234,0,125.95284271240234,14011.0,0,0,3933011.9999995995,3933011.9999995995,4093874,8.81,100
IA,county,Williams_flow,99,222,4,n/a,358.70120429992676,0,358.70120429992676,13886.0,0,0,5288752.975102874,5288752.975102874,5425802,10.87,100
KS,county,Williams_flow,105,263,4,n/a,571.7777519226074,0,571.7777519226074,15407.0,0,0,4015150.9822852127,4015150.9822852127,4048421,27.03,100
ME,county,Williams_flow,16,34,2,n/a,0.06312942504882812,0,0.06312942504882812,1.0,0,0,1200838.0,1200838.0,1200838,0.89,100
MS,county,Williams_flow,82,202,4,n/a,243.05512046813965,0,243.05512046813965,14966.0,0,0,4723141.99217133,4723141.99217133,4777737,11.61,100
NE,county,Williams_flow,93,231,3,n/a,10.447257995605469,0,10.447257995605469,3606.0,0,0,2525974.0,2525974.0,2525974,15.26,100
NM,county,Williams_flow,33,78,3,n/a,0.3066864013671875,0,0.3066864013671875,114.0,0,0,1753078.9999999474,1753078.9999999474,1753736,5.22,100
WV,county,Williams_flow,55,125,2,n/a,1.9325714111328125,0,1.9325714111328125,918.0,0,0,3900450.0,3900450.0,3900450,6.71,100
ID,county,Williams_flow,44,102,2,n/a,0.48427391052246094,0,0.48427391052246094,1.0,0,0,3237073.0,3237073.0,3237073,8.27,100
ME,tract,Williams_flow,407,1139,2,n/a,20.877079010009766,0,20.877079010009766,1.0,0,0,5563040.999994093,5563040.999994093,5566934,229.44,100
ID,tract,Williams_flow,456,1196,2,n/a,3600.1081104278564,0,3600.1081104278564,2542.0,0,0,7963174.999998951,2622290.958112726,7979345,330.52,100
NH,tract,Williams_flow,350,939,2,n/a,3600.0733165740967,0,3600.0733165740967,1955.0,0,0,5763435.999997682,1969929.380234053,5804375,199.85,100
AR,county,Hess,75,192,4,n/a,1.772531509399414,0,1.772531509399414,1.0,0,0,3930146.0,3930146.0,4093874,8.81,100
IA,county,Hess,99,222,4,n/a,8.325653076171875,0,8.325653076171875,1.0,0,0,5286772.0,5286772.0,5425802,10.87,100
KS,county,Hess,105,263,4,n/a,6.601835250854492,0,6.601835250854492,1.0,0,0,4007553.0,4007553.0,4048421,27.03,100
ME,county,Hess,16,34,2,n/a,0.03127098083496094,0,0.03127098083496094,1.0,0,0,1200838.0,1200838.0,1200838,0.89,100
MS,county,Hess,82,202,4,n/a,3.937328338623047,0,3.937328338623047,1.0,0,0,4721804.0,4721804.0,4777737,11.61,100
NE,county,Hess,93,231,3,n/a,2.4018707275390625,0,2.4018707275390625,1.0,0,0,2525974.0,2525974.0,2525974,15.26,100
NM,county,Hess,33,78,3,n/a,0.28116607666015625,0,0.28116607666015625,1.0,0,0,1743350.0,1743350.0,1753736,5.22,100
WV,county,Hess,55,125,2,n/a,0.4166278839111328,0,0.4166278839111328,1.0,0,0,3900450.0,3900450.0,3900450,6.71,100
ID,county,Hess,44,102,2,n/a,0.22006607055664062,0,0.22006607055664062,1.0,0,0,3237073.0,3237073.0,3237073,8.27,100
ME,tract,Hess,407,1139,2,n/a,130.61507606506348,0,130.61507606506348,1834.0,0,0,5494965.0,5494965.0,5566934,229.44,100
ID,tract,Hess,456,1196,2,n/a,157.0041217803955,0,157.0041217803955,1009.0,0,0,7963043.0,7963043.0,7979345,330.52,100
NH,tract,Hess,350,939,2,n/a,68.19647979736328,0,68.19647979736328,1.0,0,0,5763436.0,5763436.0,5804375,199.85,100
