State,level,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,County,Williams_cuts,67,171,7,1249.3378276824951,111702.0,4772661.0,4772661.0
AR,County,Williams_cuts,75,192,4,846.786060333252,389223.0,3880775.0,3880775.0
IA,County,Williams_cuts,99,222,4,516.6745834350586,26160.0,5221137.999999986,5221137.999999988
KS,County,Williams_cuts,105,263,4,539.9469032287598,345972.0,3944629.0,3944629.0
ME,County,Williams_cuts,16,34,2,0.09369659423828125,87.0,1193399.0000000002,1193399.0000000002
MS,County,Williams_cuts,82,202,4,446.60121154785156,53929.0,4670051.929090027,4670051.929090026
NE,County,Williams_cuts,93,231,3,21.317615509033203,5601.0,2492551.9999999525,2492551.9999999525
NM,County,Williams_cuts,33,78,3,1.6765880584716797,4612.0,1722093.9999999898,1722093.9999999898
WV,County,Williams_cuts,55,125,2,1.0475044250488281,1128.0,3857127.0,3857127.0
ID,County,Williams_cuts,44,102,2,4.367929458618164,13384.0,3194034.9999999627,3194034.9999999623
