State,level,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,County,Williams_flow,67,171,7,636.226884841919,50938.0,4844289.0,4844288.999999995
AR,County,Williams_flow,75,192,4,104.1796646118164,8703.0,3933012.0000000065,3933012.0000000056
IA,County,Williams_flow,99,222,4,533.5152778625488,17070.0,5288753.000000004,5288753.000000001
KS,County,Williams_flow,105,263,4,778.8543643951416,9805.0,4015151.000000006,4015151.000000001
ME,County,Williams_flow,16,34,2,0.06249046325683594,1.0,1200838.0,1200838.0
MS,County,Williams_flow,82,202,4,241.73538970947266,15371.0,4723141.999999992,4723141.999999985
NE,County,Williams_flow,93,231,3,14.459802627563477,2534.0,2525973.999998981,2525973.999998981
NM,County,Williams_flow,33,78,3,0.8927001953125,229.0,1753078.999999858,1753078.9999998577
WV,County,Williams_flow,55,125,2,2.992280960083008,1326.0,3900449.9999999646,3900449.9999999646
ID,County,Williams_flow,44,102,2,0.8754844665527344,91.0,3237073.0,3237073.0
