State,level,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,County,Williams,67,171,7,328.1327419281006,37672.0,4844289.0,4844288.995954901
AR,County,Williams,75,192,4,151.47744750976562,9841.0,3933011.999999918,3933011.999999918
IA,County,Williams,99,222,4,435.1996192932129,26216.0,5288752.986032971,5288752.986032971
KS,County,Williams,105,263,4,463.36236000061035,8987.0,4015150.9999998626,4015150.999999862
ME,County,Williams,16,34,2,0.07807350158691406,46.0,1200838.0000000002,1200838.0000000002
MS,County,Williams,82,202,4,287.2136573791504,16912.0,4723142.000000001,4723142.000000001
NE,County,Williams,93,231,3,24.7551326751709,2992.0,2525973.9999993653,2525973.9999993653
NM,County,Williams,33,78,3,0.5425930023193359,130.0,1753078.9999999257,1753078.9999999257
WV,County,Williams,55,125,2,2.571439743041992,1067.0,3900449.999999979,3900449.9999999767
ID,County,Williams,44,102,2,1.258148193359375,382.0,3237072.9999998547,3237072.9999998547
