State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,3600.041368484497,118230.0,4844288.999999912,4488062.857367886
AR,Williams,75,192,4,264.4923896789551,10121.0,3933011.999999971,3933011.999999971
IA,Williams,99,222,4,673.9075546264648,21582.0,5288752.999999762,5288752.999999762
KS,Williams,105,263,4,2415.9325313568115,18375.0,4015151.0000000116,4015151.0000000116
ME,Williams,16,34,2,0.09370994567871094,46.0,1200838.0000000002,1200838.0000000002
MS,Williams,82,202,4,917.6428184509277,42055.0,4723142.0,4723142.0
NE,Williams,93,231,3,31.574594497680664,4188.0,2525973.99999976,2525973.99999976
NM,Williams,33,78,3,0.6245403289794922,178.0,1753078.9999999576,1753078.9999999576
WV,Williams,55,125,2,2.3183441162109375,889.0,3900449.999999948,3900449.999999948
ID,Williams,44,102,2,1.2305259704589844,211.0,3237073.0,3237073.0
AL,Hess,67,171,7,182.88602828979492,4354.0,4844289.0,4844289.0
AR,Hess,75,192,4,15.495729446411133,1.0,3930146.0,3930146.0
IA,Hess,99,222,4,52.48077964782715,1.0,5286772.0,5286772.0
KS,Hess,105,263,4,214.37280464172363,1.0,4007553.0,4007553.0
ME,Hess,16,34,2,0.04750251770019531,1.0,1200838.0,1200838.0
MS,Hess,82,202,4,33.06506156921387,1.0,4721804.0,4721804.0
NE,Hess,93,231,3,65.65694999694824,1.0,2525974.0,2525974.0
NM,Hess,33,78,3,0.8354225158691406,1.0,1743350.0,1743350.0
WV,Hess,55,125,2,6.393280029296875,1.0,3900450.0,3900450.0
ID,Hess,44,102,2,1.7923030853271484,1.0,3237073.0,3237073.0
