State,Level,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
AR,County,Williams_flow,75,192,4,92.47266006469727,11625.0,3933011.99999993,3933011.99999993,3964625,1364.85,10000
IA,County,Williams_flow,99,222,4,513.8789215087891,23565.0,5288752.97065782,5288752.97065782,5326512,1752.09,10000
KS,County,Williams_flow,105,263,4,586.2809181213379,10273.0,4015151.0,4015151.0,4015151,5152.75,10000
ME,County,Williams_flow,16,34,2,0.07807350158691406,33.0,1200838.0,1200838.0,1200838,139.16,10000
MS,County,Williams_flow,82,202,4,399.9982681274414,17589.0,4723141.9999999665,4723141.9999999665,4487744,1536.79,10000
NE,County,Williams_flow,93,231,3,12.152385711669922,1148.0,2525974.0,2525974.0,2525974,2257.10,10000
NM,County,Williams_flow,33,78,3,0.35190773010253906,134.0,1753079.0,1753079.0,1753079,462.66,10000
WV,County,Williams_flow,55,125,2,2.580354690551758,805.0,3900449.9999998356,3900449.9999998356,3072665,799.76,10000
ID,County,Williams_flow,44,102,2,0.46947669982910156,1.0,3237073.0,3237073.0,3237073,1309.91,10000
AL,County,Williams_flow,67,171,7,278.8005561828613,30633.0,4844289.0,4844289.0,n/a,n/a,n/a
AR,County,Williams_flow,75,192,4,162.62948989868164,5703.0,3933011.999999916,3933011.9999999157,n/a,n/a,n/a
IA,County,Williams_flow,99,222,4,524.7409801483154,19537.0,5288753.000000002,5288753.0,n/a,n/a,n/a
KS,County,Williams_flow,105,263,4,227.29642868041992,10610.0,4015150.999999991,4015150.999999991,n/a,n/a,n/a
ME,County,Williams_flow,16,34,2,0.062442779541015625,1.0,1200837.9999999807,1200837.9999999804,n/a,n/a,n/a
MS,County,Williams_flow,82,202,4,464.6798095703125,21787.0,4723141.999999762,4723141.999999762,n/a,n/a,n/a
NE,County,Williams_flow,93,231,3,10.700958251953125,2417.0,2525973.9999996102,2525973.9999996102,n/a,n/a,n/a
NM,County,Williams_flow,33,78,3,0.7170753479003906,848.0,1753078.9999999807,1753078.9999999807,n/a,n/a,n/a
WV,County,Williams_flow,55,125,2,3.1227035522460938,1175.0,3900449.999999824,3900449.999999824,n/a,n/a,n/a
ID,County,Williams_flow,44,102,2,0.9442310333251953,188.0,3237072.999999624,3237072.999999624,n/a,n/a,n/a
ME,Tract,Williams_flow,407,1139,2,3600.0685234069824,2210.0,5549798.999999352,1808997.1370353305,196104,24261.33,10000
ID,Tract,Williams_flow,456,1196,2,3600.3120861053467,3025.0,8027300.999999227,2681538.85464555,319644,38020.21,10000
NH,Tract,Williams_flow,350,939,2,3600.089298248291,1246.0,5859097.99999981,1973059.4524839513,242121,16638.36,10000
ME,Tract,Williams_flow,407,1139,2,3600.0841941833496,2331.0,6354757.999999654,1842560.088431306,n/a,n/a,n/a
ID,Tract,Williams_flow,456,1196,2,3600.157009124756,2613.0,8183282.999997542,2669264.2474559834,n/a,n/a,n/a
NH,Tract,Williams_flow,350,939,2,3600.228687286377,2283.0,5920926.99999968,1985169.2702455642,n/a,n/a,n/a
