State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,72.80,26266,4844289,4844289
AR,Williams,75,192,4,21.10,10973,3933012,3933012
IA,Williams,99,222,4,254.22,15957,5288753,5288753
KS,Williams,105,263,4,137.32,10639,4015151,4015151
ME,Williams,16,34,2,0.03,1,1200838,1200838
MS,Williams,82,202,4,11.23,2165,4723142,4723142
NE,Williams,93,231,3,1.91,1902,2525974,2525974
NM,Williams,33,78,3,0.20,239,1753079,1753079
WV,Williams,55,125,2,1.22,557,3900450,3900450
ID,Williams,44,102,2,0.42,115,3237073,3237073
MT,Williams,56,138,2,2.05,978,1750471,1750471
AL,Hess,67,171,7,12.84,852,4844289,4844289
AR,Hess,75,192,4,1.09,1,3930146,3930146
IA,Hess,99,222,4,4.47,1,5286772,5286772
KS,Hess,105,263,4,4.30,1,4007553,4007553
ME,Hess,16,34,2,0.03,1,1200838,1200838
MS,Hess,82,202,4,2.81,1,4721804,4721804
NE,Hess,93,231,3,1.58,1,2525974,2525974
NM,Hess,33,78,3,0.23,1,1743350,1743350
WV,Hess,55,125,2,0.36,1,3900450,3900450
ID,Hess,44,102,2,0.17,1,3237073,3237073
MT,Hess,56,138,2,0.20,1,1750471,1750471
